['VIPLF', 'HTJHJ', 'TNZEA', 'RQZPM', 'OVYDG']
['GWJWE', 'JHGWB', 'VNVFZ', 'CFMPM', 'ZJNIT']
['JOZYK', 'GJRAV', 'ZUTJZ', 'AHMRO', 'HAXVF']
['EGIIY', 'GZQDO', 'FXUHH', 'KYKCO', 'CPJBS']
['UJHDY', 'VGUGP', 'AICHQ', 'VXIFI', 'WUCQA']
['KDZKT', 'VQDCT', 'VVCGQ', 'GVYUW', 'HXXMK']
['LSZMU', 'VXLZU', 'NSDMC', 'LCHJI', 'IRNCA']
['XUYPR', 'HFDOF', 'WJAIQ', 'EAITX', 'QSYML']
['YJCIZ', 'THQAC', 'KEMJT', 'QGGOH', 'FCWUA']
['PGHQU', 'QBVUY', 'FCJLJ', 'MWVBQ', 'KXMSB']
['BVCTY', 'ACJRU', 'PSZDK', 'RWZXF', 'TFEWH']
['SHLYA', 'OENWP', 'VBRPO', 'TBZDI', 'DCJPL']
['QECFT', 'QIZOX', 'VYDDY', 'ARMIC', 'ETYTK']
['BTWAZ', 'ABYHN', 'SFQST', 'YWPLR', 'MRXML']
['CSQHY', 'ZPTPS', 'WUTXG', 'HNXEZ', 'NVSYK']
['EHHWX', 'CBJEL', 'PKBGA', 'CUUFQ', 'BBVXC']
['OUQMM', 'DKSJV', 'VATRQ', 'HCVBR', 'TKYGG']
['RDCTS', 'BGOJW', 'DUAEB', 'TTIDN', 'PECLI']
['XCTJB', 'SVMGK', 'UCQZE', 'LIGPC', 'SRFIJ']
['CBNUD', 'JQBSO', 'VQAKV', 'PQDFC', 'TYMOI']
['ZQDIP', 'KPECP', 'OKPQW', 'KRWXO', 'SGTRH']
['IAMKK', 'QCRLR', 'GNCHO', 'UGVLA', 'CHIJG']
['LVBGW', 'EOCJX', 'BWWYB', 'HNKDE', 'KHNJL']
['TLZCG', 'JEBNF', 'ZYPEK', 'ERTVL', 'SRUUN']
['GCQTP', 'QGXZJ', 'IBUGB', 'WAHPX', 'LNIAF']
['XUHAP', 'MQDQQ', 'IKHTD', 'CIOFH', 'RJDRX']
['WDGCR', 'XGNPD', 'MYAVD', 'SGRXP', 'QBZQQ']
['DVRRV', 'FXFUX', 'PTRTD', 'BNJLP', 'CIBMR']
['FBWOW', 'OTQON', 'UHOTV', 'DKHZJ', 'JXGHX']
['QAOAR', 'XEEVL', 'SGXHX', 'JAFZN', 'ZLQYF']
['ENKVR', 'YORBA', 'YQSUZ', 'TFGVT', 'YBAFX']
['IRAUO', 'UFVEC', 'QYLAH', 'UDTFQ', 'WOIJX']
['OSLVS', 'ALMIE', 'JCOPI', 'GUDYJ', 'VLQCW']
['IGUWL', 'MTCGB', 'WNYYG', 'UGKUC', 'GBGAG']
['WLCAR', 'BNYBV', 'RMUXW', 'UQKOV', 'BEIFF']
